,term_hashkey
northeast,-8448478185366043923
fring,5724600536009724753
gentrif,7936087824937669695
brought,-5291999935445651669
influx,5181938534440496802
creativ,-7172958186691640735
hipster,-4146116701060809054
face,3878329105079538575
purpl,7376275506455543785
haze,7274222680631378388
god,8243445188954624682
junkyard,1977569901979033709
kaleidoscop,-7641329672517272465
warehousemaz,4237715298165448820
handmad,1290248596779442975
blaze,-4549976572210355127
forth,-4137670518366491058
industri,205854133748703462
estat,-5548370477050104395
vega,-3402614751165224198
mirag,-2059388872556741046
curat,-2448844390563708372
thirdgener,2959659611378234497
artisan,1153399099346709988
marcu,4929881792396516582
bracey,-6801866764417173721
goji,7372933500367866423
serv,3041260797089286121
function,653404118540391645
free,-1479326403579512744
galleri,-7804613468183719933
instagram,-6307860099864571806
bonanza,7166034695311466166
dealer,8537787219228865206
recycl,-3312875859326611202
signag,-6798482630916851803
lucr,8524785747498118578
custom,-7996932687136675133
util,-8310532678888781574
thousand,5392479463231826024
singl,8337113805263733089
warehous,-8982613912467735330
cheer,3083929345033112763
emblem,-2542028277486196333
diner,939160876011034075
hotel,8187995714716314334
wink,-766955514777243473
disreput,7344018675263653742
